username,author_id,conversation_id,created_at,hashtags,mentions,like_count,quote_count,reply_count,retweet_count,retweet,reply,quote,reply_settings,source,text
AlexLanglois_,794465538575663105,1443868457146142721,2021-10-01T09:20:40.000Z,"['presidentielles2022', 'Presidentielle2022', 'Presidentielle']",,6,0,0,4,False,False,True,everyone,Twitter Web App,#presidentielles2022 #Presidentielle2022 #Presidentielle https://t.co/J9xTrTSfRH
AlexLanglois_,794465538575663105,1443867666633138179,2021-10-01T09:17:39.000Z,['Redondation2022'],,14,0,1,4,False,False,False,everyone,Twitter Web App,"Prêt à rejoindre #Redondation2022, pour rebâtir collectivement les mêmes droits et les mêmes devoirs pour tous dans notre pays ?

14/14"
espoirRIC2022,1366721124667654144,1444295647709089798,2021-10-02T20:26:00.000Z,"['Abstention', 'Présidentielle2022', 'Démocratie']","['ASNilsannath', 'AntoinetteColby']",1,0,0,1,False,False,False,everyone,TweetDeck,"@ASNilsannath @AntoinetteColby L’#Abstention est le fait de Français lucides : élire des gens ne permet pas de changer la politique !

Nous portons une candidature #Présidentielle2022 pour instaurer enfin le vrai droit de VOTER.

#Démocratie avec Clara Egger : https://t.co/YDBjtQtsX6"
espoirRIC2022,1366721124667654144,1444374389336813570,2021-10-02T20:25:06.000Z,"['Abstention', 'Présidentielle2022', 'Démocratie']",['benetit92'],0,0,0,0,False,False,False,everyone,TweetDeck,"@benetit92 L’#Abstention est le fait de Français lucides : élire des gens ne permet pas de changer la politique !

Nous portons une candidature #Présidentielle2022 pour instaurer enfin le vrai droit de VOTER.

#Démocratie avec Clara Egger : https://t.co/YDBjtQtsX6"
espoirRIC2022,1366721124667654144,1444371910683418629,2021-10-02T20:23:39.000Z,"['Abstention', 'Présidentielle2022', 'Démocratie']","['HerveParienti', 'fmomboisse']",0,0,0,0,False,False,False,everyone,TweetDeck,"@HerveParienti @fmomboisse L’#Abstention est le fait de Français lucides : élire des gens ne permet pas de changer la politique !

Nous portons une candidature #Présidentielle2022 pour instaurer enfin le vrai droit de VOTER.

#Démocratie avec Clara Egger : https://t.co/YDBjtQtsX6"
espoirRIC2022,1366721124667654144,1443878216809304073,2021-10-02T20:22:45.000Z,"['Abstention', 'Présidentielle2022', 'Démocratie']","['magnac3', 'E2Villiers']",0,0,0,0,False,False,False,everyone,TweetDeck,"@magnac3 @E2Villiers L’#Abstention est le fait de Français lucides : élire des gens ne permet pas de changer la politique !

Nous portons une candidature #Présidentielle2022 pour instaurer enfin le vrai droit de VOTER.

#Démocratie avec Clara Egger : https://t.co/YDBjtQtsX6"
espoirRIC2022,1366721124667654144,1444274840366718979,2021-10-02T20:21:56.000Z,"['Abstention', 'Présidentielle2022', 'Démocratie']","['JCEV15', 'florencedesruol']",0,0,0,0,False,False,False,everyone,TweetDeck,"@JCEV15 @florencedesruol L’#Abstention est le fait de Français lucides : élire des gens ne permet pas de changer la politique !

Nous portons une candidature #Présidentielle2022 pour instaurer enfin le vrai droit de VOTER.

#Démocratie avec Clara Egger : https://t.co/YDBjtQtsX6"
espoirRIC2022,1366721124667654144,1444396491154464775,2021-10-02T20:18:53.000Z,"['UE', 'Frexit', 'Opt', 'Démocratie', 'RIC']",['espoirRIC2022'],0,0,0,6,True,False,False,everyone,TweetDeck,"RT @espoirRIC2022: Le replay !

Clara Egger intervenait hier soir sur #UE #Frexit #Opt-Out #Démocratie #RIC

https://t.co/D0ipIEEWfY"
espoirRIC2022,1366721124667654144,1444283346704556033,2021-10-02T18:07:04.000Z,"['Abstention', 'Présidentielle2022', 'Démocratie']","['_rom_d', 'lemondefr']",0,0,0,0,False,False,False,everyone,TweetDeck,"@_rom_d @lemondefr L’#Abstention est le fait de Français lucides : élire des gens ne permet pas de changer la politique !

Nous portons une candidature #Présidentielle2022 pour instaurer enfin le vrai droit de VOTER.

#Démocratie
https://t.co/yHYw0hGqtC"
espoirRIC2022,1366721124667654144,1444216867271417858,2021-10-02T18:05:50.000Z,"['Abstention', 'Présidentielle2022', 'Démocratie']",['ConflitsFrance'],1,0,0,0,False,False,False,everyone,TweetDeck,"@ConflitsFrance L’#Abstention est le fait de Français lucides : élire des gens ne permet pas de changer la politique !

Nous portons une candidature #Présidentielle2022 pour instaurer enfin le vrai droit de VOTER.

#Démocratie
https://t.co/yHYw0hGqtC"
espoirRIC2022,1366721124667654144,1443907751567151109,2021-10-02T17:58:48.000Z,"['Abstention', 'Présidentielle2022', 'Démocratie']","['AbstentionPlus', 'franceinfo']",0,0,0,0,False,False,False,everyone,TweetDeck,"@AbstentionPlus @franceinfo L’#Abstention est le fait de Français lucides : élire des gens ne permet pas de changer la politique !

Nous portons une candidature #Présidentielle2022 pour instaurer enfin le vrai droit de VOTER.

#Démocratie
https://t.co/yHYw0hGqtC"
espoirRIC2022,1366721124667654144,1444323281939705863,2021-10-02T17:58:24.000Z,"['Abstention', 'Présidentielle2022', 'Démocratie']",['BenjiGault'],0,0,0,0,False,False,False,everyone,TweetDeck,"@BenjiGault L’#Abstention est le fait de Français lucides : élire des gens ne permet pas de changer la politique !

Nous portons une candidature #Présidentielle2022 pour instaurer enfin le vrai droit de VOTER.

#Démocratie
https://t.co/yHYw0hGqtC"
HeleneThouy,4827536777,1444340338211033096,2021-10-02T16:35:45.000Z,,['dhoubron1759'],0,0,0,11,True,False,False,everyone,Twitter Web App,RT @dhoubron1759: Nous ne lâcherons rien et l’ Assemblée nationale reviendra à sa rédaction au plus vite ! Nous ne laisserons pas notre pro…
HeleneThouy,4827536777,1444291086973915138,2021-10-02T13:20:03.000Z,,"['Elus_PA', 'Paris', 'DouchkaMarkovic']",0,0,0,55,True,False,False,everyone,Twitter Web App,"RT @Elus_PA: Notre Conseillère de @Paris, @DouchkaMarkovic, est à la Marche contre la fourrure du 2 octobre 2021. L'interdiction de la four…"
HeleneThouy,4827536777,1444211008411783169,2021-10-02T08:01:51.000Z,,['PartiAnimaliste'],0,0,0,64,True,False,False,everyone,Twitter Web App,"RT @PartiAnimaliste: « Les objectifs chiffrés, c’est compliqué parce qu’il y a toujours des aléas. Mais on veut faire plus, parce que notre…"
HeleneThouy,4827536777,1443910466263203847,2021-10-01T12:07:36.000Z,"['LesAnimauxComptent', 'Présidentielle2022']",['Senat'],618,20,45,313,False,False,False,everyone,Twitter Web App,"Grâce à cet amendement, les chasseurs pourront tirer à tout va et en toute impunité ! Cette allégeance constante des responsables politiques aux chasseurs est insupportable et doit cesser. #LesAnimauxComptent #Présidentielle2022
@Senat https://t.co/xPrTE1zgBC"
HeleneThouy,4827536777,1443848638992691223,2021-10-01T08:01:55.000Z,['Presidentielle2022'],['CitoyensDirect'],0,0,0,47,True,False,False,everyone,Twitter Web App,"RT @CitoyensDirect: On se retrouve mardi prochain pour la suite de notre série d'émissions consacrées à la #Presidentielle2022 ! 

On reçoi…"
